tail -f /var/log/apache2/error.log

[Wed Nov 23 21:05:24.688136 2016] [rewrite:trace5] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8781ed48/initial/redir#4] strip matching prefix: /home/guillaume/public_html/index.php -> index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688145 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8781ed48/initial/redir#4] add subst prefix: index.php -> /~guillaume/app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688154 2016] [rewrite:trace1] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd8781ed48/initial/redir#4] [perdir /home/guillaume/public_html/] internal redirect with /~guillaume/app/index.php [INTERNAL REDIRECT], referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688246 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688261 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688275 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688293 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688308 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688321 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688331 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] rewrite 'app/index.php' -> 'index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688341 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87815170/initial/redir#5] [perdir /home/guillaume/public_html/] add per-dir prefix: index.php -> /home/guillaume/public_html/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
